event_timestamp,device_type,session_id,visitor_id,item_id,redirection_source
2020-11-15T12:33:00.000+05:30,android,B000516,I2161,B03502,youtube
2020-11-15T08:45:00.000+05:30,android,B00478,B8312,I3926,google
2020-11-15T19:36:00.000+05:30,android,B015266,H6031,H3805,google
2020-11-15T09:39:00.000+05:30,android,B035918,I2458,B0379,linkedin
2020-11-15T07:25:00.000+05:30,android,B04206,D9296,B19516,linkedin
2020-11-15T19:00:00.000+05:30,android,B047459,I1473,B19516,linkedin
2020-11-15T13:10:00.000+05:30,android,B05675,H6091,H1406,youtube
2020-11-15T13:01:00.000+05:30,android,B058525,I1949,B32092,youtube
2020-11-15T18:04:00.000+05:30,android,B064486,C4893,B26800,facebook
2020-11-15T19:32:00.000+05:30,android,B068655,E2587,E423,youtube
2020-11-15T12:16:00.000+05:30,android,B07709,I8121,B09011,youtube
2020-11-15T09:23:00.000+05:30,android,B086672,H2889,B20468,google
2020-11-15T20:51:00.000+05:30,android,B12676,C1257,B13763,google
2020-11-15T15:01:00.000+05:30,android,B14475,F7791,B11376,google
2020-11-15T18:26:00.000+05:30,android,B14546,I242,B7149,google
2020-11-15T08:30:00.000+05:30,android,B19493,C1327,B03394,youtube
2020-11-15T12:36:00.000+05:30,android,B19615,B6746,B0379,google
2020-11-15T06:10:00.000+05:30,android,B20160,I8572,B3760,google
2020-11-15T18:04:00.000+05:30,android,B33335,H9372,B14129,google
2020-11-15T10:55:00.000+05:30,android,B34932,H1226,I6910,google
2020-11-15T17:29:00.000+05:30,android,B59513,E3165,B10337,google
2020-11-15T04:48:00.000+05:30,android,B61398,H3498,E5613,facebook
2020-11-15T05:50:00.000+05:30,android,B64445,F5377,E337,google
2020-11-15T10:26:00.000+05:30,android,B6863,C4976,J3947,youtube
2020-11-15T20:02:00.000+05:30,android,B73760,G7229,B013,linkedin
2020-11-15T11:53:00.000+05:30,android,B74381,G8934,B23898,youtube
2020-11-15T18:37:00.000+05:30,android,B9393,F7114,B22546,youtube
2020-11-15T16:47:00.000+05:30,android,B95972,G1251,D2975,youtube
2020-11-15T10:44:00.000+05:30,android,C02488,F1165,E4465,youtube
