item_id,item_price,product_type,department_name
F4939,1756.5,G822,collectibles
E0383,412.5,B619,apps & games
I777,1177.5,F264,baby
B13705,633.5,B0239,electronics
B08843,476.5,H03,apps & games
B29807,9059.0,C537,beauty
E4250,8928.0,J641,garden & outdoors
E9862,1434.0,I42,baby
H7042,2016.0,G23,apps & games
C29,1091.5,D248,apps & games
H7286,4276.0,G864,books
D1157,976.0,D328,books
B07227,2067.5,E181,baby
E7099,2233.5,H151,electronics
J5657,188.5,H233,computers & accessories
B27016,3427.0,E036,collectibles
J5953,1033.5,H203,furniture
B31809,633.5,G936,clothing & accessories
D1202,1776.0,H387,furniture
B18202,2013.0,H631,furniture
C066,537.5,B008,beauty
B16586,864.0,I836,apps & games
B05684,2160.0,C33,computers & accessories
F6109,1725.0,D362,beauty
D6828,956.5,G822,beauty
B31351,633.5,C563,books
G9889,1278.5,C882,apps & games
J4488,1568.0,G939,baby
B01701,1068.5,F810,apps & games
D5668,3360.0,I817,beauty
B28999,8611.0,B0269,garden & outdoors
B00487,1097.0,F622,apps & games
B10747,892.5,J857,computers & accessories
H6718,5731.0,J375,books
B07757,993.5,H960,collectibles
D7807,1293.0,J299,computers & accessories
J1519,1319.0,G844,collectibles
C5636,1088.5,E297,furniture
F636,3020.5,H203,clothing & accessories
J8364,1123.0,H121,baby
H6721,3409.5,I305,computers & accessories
B07246,1062.5,G822,books
D9762,3456.0,E517,furniture
B13717,1062.5,E216,apps & games
G8507,1980.5,F251,computers & accessories
C5885,421.5,G836,beauty
G7305,1149.0,H34,clothing & accessories
C8468,1382.0,F604,collectibles
B547,5123.0,J641,clothing & accessories
E0044,1987.0,C494,beauty
D8939,11520.0,J196,beauty
B09074,3165.0,J337,collectibles
D3600,1149.0,I834,baby
D9332,165.0,I251,furniture
C6722,1437.0,B0541,furniture
D0298,4003.0,B619,apps & games
B14803,3139.0,D416,furniture
J4166,1725.0,H47,computers & accessories
I7231,1437.0,D236,computers & accessories
J0108,2448.0,B147,garden & outdoors
B24451,2301.0,C528,collectibles
E8571,1128.5,B552,computers & accessories
J5715,5411.0,E822,baby
J9251,1065.5,F622,apps & games
E7564,1033.5,B236,apps & games
C7843,3520.0,H738,baby
D5485,1206.5,B0236,collectibles
J2336,5408.0,C475,furniture
D1816,2589.0,F996,baby
H1556,1596.5,J061,garden & outdoors
C1126,1120.0,B0351,baby
G6134,2304.0,E422,books
B28784,284.5,H121,apps & games
H9049,5856.0,B0083,computers & accessories
F3714,1536.0,F835,clothing & accessories
J7401,1005.0,C802,baby
D7678,2286.0,G661,apps & games
E2250,480.0,H753,furniture
B24755,2851.0,J333,furniture
G2637,1148.5,C568,baby
J9769,1725.0,I763,electronics
B16271,2563.0,B327,collectibles
B9694,573.0,B2,clothing & accessories
H5232,508.5,C281,garden & outdoors
B22327,540.5,F435,furniture
B05759,6110.5,B0304,clothing & accessories
J5041,508.5,B713,collectibles
B04375,224.5,J601,furniture
I7657,1722.0,I179,furniture
F9513,23328.0,I986,books
H3989,1177.5,J097,computers & accessories
E1805,892.5,B732,clothing & accessories
H6979,2301.0,I744,garden & outdoors
I0517,835.0,J225,garden & outdoors
J8812,1699.0,D844,apps & games
C3447,907.0,F897,collectibles
H1303,1033.5,B0484,clothing & accessories
E6503,1177.5,G318,furniture
B30617,1160.5,F081,electronics
H4404,1321.5,H099,apps & games
J611,1123.0,H036,apps & games
B26662,2499.5,G661,baby
F0110,4291.0,B0121,apps & games
F1839,1168.0,I834,beauty
B7296,2563.0,E057,electronics
G0079,319.5,B24,apps & games
F6405,10246.0,H899,clothing & accessories
B01807,918.5,H652,electronics
D4853,1033.5,G723,clothing & accessories
H6276,42880.0,D893,furniture
G817,2301.0,C528,beauty
J758,1510.0,H881,beauty
B24313,4995.0,J333,apps & games
B19476,27168.0,B756,apps & games
J197,2013.0,G044,apps & games
B6370,1002.0,E297,furniture
D065,1180.5,G498,computers & accessories
E1191,993.5,D737,collectibles
C6233,348.5,F456,electronics
E6361,1149.0,C802,beauty
B0066,412.5,F897,computers & accessories
H3519,7648.0,F637,clothing & accessories
B08364,1146.0,B529,garden & outdoors
B20035,921.5,I121,clothing & accessories
B6027,1036.5,H078,garden & outdoors
G689,1411.0,C967,clothing & accessories
C7854,6992.0,I274,collectibles
B24555,3136.0,D184,collectibles
F3206,1520.5,B683,furniture
E5348,2586.0,B380,baby
H0269,976.0,I834,baby
B05096,1379.5,C31,clothing & accessories
B9098,190.0,J582,computers & accessories
D6602,1382.0,B0271,apps & games
F4675,1123.0,E192,apps & games
B4619,1612.5,B073,apps & games
E5210,828.5,I577,furniture
H5794,16992.0,C740,electronics
B12538,441.5,D635,garden & outdoors
I3727,1065.5,J839,computers & accessories
B25489,2937.5,J086,garden & outdoors
D1461,313.5,J976,baby
E5974,502.0,I607,books
B22261,1293.0,E034,beauty
B10641,1382.0,C874,apps & games
B9495,6710.0,I826,clothing & accessories
D5274,1792.0,B445,books
B14459,1116.5,I836,electronics
B01448,3558.0,G493,computers & accessories
B16196,380.5,G186,clothing & accessories
